transaction_date,nxp_qty
17/05/2020,20000
17/09/2020,649836
13/05/2020,270000
17/05/2020,990870
17/05/2020,919176
30/04/2020,80000
30/04/2020,150000
17/05/2020,239353
17/05/2020,196109
17/05/2020,240000
17/05/2020,5000
17/05/2020,65000
17/05/2020,90000
17/05/2020,130000
17/05/2020,50000
13/05/2020,625470
20/04/2020,150000
17/05/2020,90000
17/05/2020,84600
17/05/2020,30000
15/05/2020,90000
17/05/2020,197400
14/05/2020,491205
17/05/2020,301500
17/05/2020,69300
17/05/2020,54000
17/05/2020,60000
17/05/2020,161700
17/05/2020,30000
09/05/2020,150000
17/05/2020,804760
10/05/2020,948689
19/05/2020,950000
17/05/2020,100000
17/05/2020,11000
17/05/2020,118000
17/05/2020,10000
17/05/2020,115000
19/05/2020,50000
